NAME;AC_e;EC_e;MG_e;PC_e;AC;EC;MG;PC
Ptpn1;1;1;1;1;0;1;0;0
Tram1;1;1;1;1;0;0;0;0
Idh2;1;1;1;1;0;0;0;1
Il33;1;1;0;0;1;1;0;0
Ssr3;1;1;1;1;0;0;1;0
Vdac2;1;1;1;1;0;0;0;0
Atp5j;1;1;1;1;0;0;0;0
Spop;1;1;1;1;0;0;0;0
Aldh2;1;1;1;1;0;0;0;0
Rnf187;1;1;1;1;0;0;0;0
Cox8a;1;1;1;1;0;0;0;0
Ms4a6d;0;0;1;0;0;0;1;0
Lpcat2;1;1;1;0;0;0;1;0
Lman2;1;1;1;1;0;0;0;0
Vcam1;1;1;1;1;0;0;1;0
Cadm1;1;1;1;1;0;0;0;0
Napa;1;1;1;1;0;0;0;0
Atp6ap2;1;1;1;1;0;0;0;0
Jam2;1;1;1;1;0;0;1;0
Ctnna1;1;1;1;1;0;0;0;0
Iqgap1;1;1;1;1;0;0;1;0
Podxl;1;1;0;1;0;0;0;0
Ezr;1;1;1;1;0;0;1;0
Ablim1;1;1;1;1;0;0;0;0
Lgals9;1;1;1;1;0;0;0;1
Ppp2ca;1;1;1;1;0;0;0;0
Timp2;1;1;1;1;0;0;0;0
Tgoln1;1;1;1;1;0;0;0;0
Arpc4;1;1;1;1;0;0;0;0
Sypl;1;1;1;1;0;1;0;0
Cope;1;1;1;1;0;0;1;0
Slc16a1;1;1;1;1;0;1;1;0
Psmd2;1;1;1;1;0;0;1;0
Rps2;1;1;1;1;0;0;1;1
Dusp6;1;1;1;1;0;0;1;0
Actr3;1;1;1;1;0;1;1;0
Cyth4;1;1;1;0;0;0;0;0
Gusb;1;1;1;1;0;0;0;0
Rsrp1;1;1;1;1;0;0;1;0
Elovl1;1;1;1;1;0;0;1;0
Cndp2;1;1;1;1;0;0;1;1
Amfr;1;1;1;1;0;0;0;0
Adam15;1;1;1;1;0;0;0;0
Psat1;1;1;1;0;0;0;1;0
Tpm3;1;1;1;1;0;1;0;1
Tubb4b;1;1;1;1;0;0;1;0
Ccl9;0;0;1;0;0;0;1;0
Sdhb;1;1;1;1;0;0;1;0
Oat;1;1;1;1;0;0;0;0
