Gene;Log2Fc sEC/cEC;Mean cEC;Mean sEC;Log2Fc sPC/cPC;Mean cPC;Mean sPC;Log 2Fc sAC/cAC;Mean cAC;Mean sAC;Log2Fc sMG/cMG;Mean cMG;Mean sMG;cEC_exp;cPC_exp;cAC_exp;cMG_exp;sEC_exp;sPC_exp;sAC_exp;sMG_exp;EC_reg;PC_reg;AC_reg;MG_reg
Fam46a;0,73;33;53;0,86;74;129;0,2;115;128;-1,05;1577;730;0;0;1;1;1;1;1;1;0;0;0;1
Cdca4;0,13;286;307;0,22;277;309;-0,09;201;182;-0,21;397;328;1;1;1;1;1;1;1;1;0;0;0;0
Gm5112;-0,28;54;44;0,95;20;37;-0,32;20;16;-0,72;68;39;0;0;0;1;0;0;0;1;0;0;0;0
Copg1;0,29;2261;2720;-0,16;3087;2654;0;1753;1684;0,49;1608;2159;1;1;1;1;1;1;1;1;0;0;0;0
Cenpi;2,57;1;12;1,06;15;32;0,95;4;8;0,6;21;31;0;0;0;1;0;0;0;0;0;0;0;0
Lamp1;0,91;3361;6234;0,58;3760;5425;-0,14;15851;13841;0,34;9262;11248;1;1;1;1;1;1;1;1;0;0;0;0
Uqcrc2;0,35;1668;2084;-0,14;2590;2253;-0,12;2718;2405;0,4;1226;1547;1;1;1;1;1;1;1;1;0;0;0;0
Gucy1a2;1,21;5;12;0,13;173;183;0,1;14;14;1,61;0;3;0;1;0;0;0;1;0;0;0;0;0;0
Nkd2;-0,73;342;203;-1,51;269;91;-0,16;180;156;1,14;2;6;1;1;1;0;1;0;1;0;0;0;0;0
Tmem126b;-0,6;420;272;-0,29;424;335;-0,13;420;368;0,33;348;419;1;1;1;1;1;1;1;1;0;0;0;0
Mrpl32;-1,06;655;311;0,33;299;359;-0,07;326;299;0,98;339;641;1;1;1;1;1;1;1;1;0;0;0;1
Gfpt2;-0,94;11;5;0,97;87;162;0,72;260;418;1,77;4;15;0;0;1;0;0;0;1;0;0;0;0;0
Glb1l2;0,21;15;17;-1,14;248;107;-0,47;142;100;-1,64;5;0;0;1;1;0;0;0;0;0;0;0;0;0
Taf9b;0,02;1210;1207;-0,28;802;634;0,3;1012;1194;0,8;155;261;1;1;1;1;1;1;1;1;0;0;0;0
Fgf11;0,46;18;25;-0,67;106;64;-0,51;61;41;0,61;22;33;0;1;0;0;0;0;0;0;0;0;0;0
Cobll1;-0,81;1205;677;-0,38;2553;1896;-0,08;269;244;0,28;33;39;1;1;1;0;1;1;1;0;0;0;0;0
Fam104a;-0,28;494;402;-0,16;560;479;0,19;278;305;0,13;308;323;1;1;1;1;1;1;1;1;0;0;0;0
Bin2;1,26;92;213;2,01;57;221;0,53;154;212;-0,46;5300;3703;0;0;1;1;0;0;1;1;0;0;0;0
Elovl6;0,22;41;48;0,68;104;162;0,42;414;531;0,63;14;22;0;1;1;0;0;0;1;0;0;0;0;0
Tnrc18;0,13;172;186;-0,54;332;220;-0,16;233;200;-0,87;332;173;1;1;1;1;1;1;1;1;0;0;0;0
A130010J15Rik;-0,51;246;169;0,65;79;118;-1,02;157;74;0,21;190;211;1;1;1;1;1;0;1;1;0;0;0;0
Xxylt1;1,14;139;303;1,12;88;189;0,16;358;387;0,34;226;276;1;1;1;1;1;0;1;1;0;0;0;0
Hsp90aa1;-0,09;2390;2207;-0,15;2805;2427;0,32;4046;4846;0,04;3862;3797;1;1;1;1;1;1;1;1;0;0;0;0
Zc3hc1;0,11;375;399;-0,21;601;498;-0,08;406;370;0,37;438;544;1;1;1;1;1;1;1;1;0;0;0;0
Mfap5;1,92;1;8;1,39;100;247;-0,21;19;15;0,79;1;3;0;1;0;0;0;1;0;0;0;0;0;0
Clec4e;7,48;0;190;8,47;0;334;3,94;9;148;2,42;40;213;0;0;0;0;0;0;1;1;0;0;0;1
Mrpl45;-0,26;474;389;0,34;312;379;-0,26;622;502;0,55;321;451;1;1;1;1;1;1;1;1;0;0;0;0
Pir;-0,47;1849;1313;0,5;180;245;-0,44;222;158;1,38;20;51;1;1;1;0;1;1;1;0;0;0;0;0
Ghr;-0,18;606;531;0,53;147;204;-0,45;472;335;2,39;0;8;1;0;1;0;1;1;1;0;0;0;0;0
Bace2;-0,34;134;104;0,84;155;264;-0,25;256;210;-0,01;9;8;1;0;1;0;1;1;1;0;0;0;0;0
Spata5;-0,02;176;171;0,7;149;230;0,04;149;148;0,71;301;472;1;0;1;1;1;1;1;1;0;0;0;0
Coq8a;-1,18;101;43;-0,82;185;101;-0,85;707;376;-2,19;227;46;0;1;1;1;0;0;1;0;0;0;0;1
Zcchc10;-0,81;268;150;0,44;105;136;0,2;94;104;0,22;134;150;1;1;1;1;1;1;1;1;0;0;0;0
Rab11fip1;-0,95;1361;694;-1,29;57;22;1,04;30;60;1,88;22;83;1;0;0;0;1;0;1;1;0;0;0;1
Gm37940;-0,06;39;37;1,56;11;35;0,4;68;86;0,26;136;156;0;0;0;1;0;0;1;1;0;0;0;0
Gm14539;0,13;26;28;0,38;15;20;0,11;21;22;1,59;14;44;0;1;0;0;0;1;0;0;0;0;0;0
CT009757.3;0,27;46;55;-1,59;16;4;0,37;16;20;1,49;39;108;0;0;0;1;0;0;0;1;0;0;0;1
Gstm5;-0,18;989;860;0,38;717;897;-0,77;17572;9951;0,23;375;424;1;1;1;1;1;1;1;1;0;0;0;0
Washc4;-0,1;440;405;-0,28;493;387;0,27;629;725;-0,52;1134;760;1;1;1;1;1;1;1;1;0;0;0;0
Tirap;-0,18;480;417;0,35;209;255;0,45;162;214;-0,26;304;244;1;1;1;1;1;1;1;1;0;0;0;0
Tspan14;0,19;2445;2741;0,34;1185;1420;-0,17;2419;2065;-0,5;6129;4164;1;1;1;1;1;1;1;1;0;0;0;0
Dph2;0,47;123;167;0,49;141;189;0,79;152;253;0,01;257;249;1;1;1;1;1;1;1;0;0;0;0;0
Gas7;0,51;26;37;0,87;51;90;0,74;190;303;1,03;20;41;0;0;1;0;0;0;1;1;0;0;0;0
Prr14;-0,27;1111;905;-0,18;1125;947;-0,24;679;552;-0,57;1060;686;1;1;1;1;1;1;1;1;0;0;0;0
Sp1;-0,53;678;462;-0,27;635;505;0,06;323;326;-0,34;488;370;1;1;1;1;1;1;1;1;0;0;0;0
Svip;-0,59;121;78;-0,49;106;72;0,02;527;510;-0,08;93;84;1;1;1;1;1;1;1;1;0;0;0;0
Tsr1;1,56;43;126;0,4;147;187;0,74;124;200;0,66;198;300;0;1;1;1;1;1;1;1;0;0;0;0
AC132623.2;0,61;50;75;1,62;4;14;0,43;18;23;-0,09;6;6;0;0;0;0;1;0;0;0;0;0;0;0
Cbs;1,17;31;71;-0,35;408;309;-0,17;5216;4480;-0,32;37;28;0;1;1;0;0;1;1;0;0;0;0;0
Zc3h7b;-0,35;182;141;-0,31;207;161;0,03;125;122;-0,15;68;58;1;1;1;1;1;1;1;1;0;0;0;0
Zbtb7a;-0,05;1169;1110;-0,23;1422;1163;0,03;865;849;0,03;1344;1316;1;1;1;1;1;1;1;1;0;0;0;0
Xkr8;0,76;127;211;0,8;80;135;-0,42;197;143;-0,15;191;165;0;0;1;1;1;1;1;1;0;0;0;0
Aven;1,84;27;100;0,78;49;81;0,23;84;95;1,54;33;95;0;0;1;0;1;1;1;1;0;0;0;0
Alg13;-0,4;64;47;1,12;13;27;0,61;38;57;1,21;64;145;0;0;0;1;1;0;1;0;0;0;0;0
Gm10687;1,13;12;28;-1,11;264;117;-0,29;22;17;-1,92;5;0;0;1;0;0;0;1;0;0;0;1;0;0
Trappc9;-0,17;631;550;0,14;994;1053;-0,38;1312;970;-0,34;873;662;1;1;1;1;1;1;1;1;0;0;0;0
Ahcyl2;-0,39;439;331;0,42;821;1047;0,2;881;979;0,24;295;333;1;1;1;1;1;1;1;1;0;0;0;0
Btrc;0,04;304;307;-0,32;561;431;-0,17;665;568;-0,82;472;256;1;1;1;1;0;1;1;1;0;0;0;0
Irs1;0,84;1;2;0,23;165;185;0,2;67;75;-1,37;3;0;0;1;1;0;0;1;1;0;0;0;0;0
Cc2d1a;-0,21;239;203;-0,42;310;222;-0,47;329;229;-0,27;254;202;1;1;1;1;0;1;1;1;0;0;0;0
Klk8;-0,65;183;115;1,82;16;56;3,86;20;287;-0,33;523;399;1;0;0;1;1;0;1;1;0;0;1;0
Gm16470;1,84;4;17;0,75;8;13;-0,04;18;17;1,4;7;21;0;0;1;0;1;0;0;1;1;0;0;1
Timm10b;0,08;280;292;-0,29;179;140;-0,15;175;152;0,55;187;264;1;1;1;1;1;1;1;1;0;0;0;0
Pin4;-0,49;59;41;0,44;28;37;0,36;35;43;0,88;28;51;1;1;1;1;1;1;1;1;0;0;0;0
Prex1;0,23;576;664;1,19;91;202;0,12;3043;3171;-0,6;3453;2177;1;0;1;1;1;1;1;1;0;0;0;0
Fam114a2;-0,35;938;723;-0,21;818;678;-0,14;617;539;-0,41;1237;891;1;1;1;1;1;1;1;1;0;0;0;0
Patz1;-0,5;385;268;0,4;251;316;-0,42;632;454;-0,42;236;170;1;1;1;1;1;1;1;1;0;0;0;0
Ap4e1;-0,09;96;89;-0,41;163;118;-0,29;111;88;-0,5;139;94;1;1;1;1;1;1;1;1;0;0;0;0
Dck;0,26;89;105;0,46;92;123;0,25;106;121;0,55;179;253;1;1;1;1;1;1;1;1;0;0;0;0
Snap91;-0,74;14;8;1,72;14;47;0,97;74;140;-0,56;13;8;0;0;1;0;0;0;1;0;0;0;0;0
Aldh7a1;-0,36;363;279;-0,24;798;651;-0,34;1932;1474;0,43;245;317;1;1;1;1;1;1;1;1;0;0;0;0
Ptgds;-0,48;5834;4189;0,57;3631;5139;-0,36;190683;141558;-0,07;3612;3318;1;1;1;1;1;1;1;1;0;0;0;0
Strn3;0,24;1059;1243;0,54;1118;1575;0,15;728;781;0,33;405;491;1;1;1;1;1;1;1;1;0;0;0;0
Klhdc10;0,15;319;350;-0,39;330;243;0,27;315;367;-0,23;329;267;1;1;1;1;1;1;1;1;0;0;0;0
2810403D21Rik;-0,68;36;22;-0,94;26;13;-0,29;50;39;-1,7;42;12;0;0;0;1;0;0;1;0;0;0;0;1
Crabp2;1,15;0;2;1,82;191;637;1,2;1;5;0,26;1;1;0;1;0;0;0;1;0;0;0;1;0;0
H2-Q6;0,2;542;604;1,31;9;24;0,02;25;25;-0,66;386;233;1;0;0;1;1;0;0;1;0;0;0;0
Capzb;0,18;5235;5843;0,17;8777;9453;0,12;2883;3009;0,42;5674;7296;1;1;1;1;1;1;1;1;0;0;0;0
Rps6ka4;0,12;1300;1389;0,25;1799;2057;-0,04;508;476;0,19;1118;1221;1;1;1;1;1;1;1;1;0;0;0;0
Atcayos;-2,13;6;0;-1;237;114;0,32;1;2;-2,46;5;0;0;1;0;0;0;1;0;0;0;0;0;0
Trip6;0,59;452;671;-0,2;1391;1169;0;316;308;-1,65;117;35;1;1;1;1;1;1;1;1;0;0;0;1
Mecp2;-0,46;469;334;-0,3;594;463;-0,11;471;421;-0,88;340;177;1;1;1;1;1;1;1;1;0;0;0;1
Phlda3;0,53;307;435;-0,27;1904;1510;0,59;1286;1856;0,43;41;53;1;1;1;1;1;1;1;1;0;0;0;0
